place_id,user_id,rating,content,disability_type
17561073,2,1,엘리베이터가 없어서 2층 이상 가기 힘들어요.,hearing
17561073,1,2,경사로가 너무 가파라서 위험해요.,hearing
17561073,5,1,입구에 계단만 있어서 접근이 어렵습니다.,visual
17561073,5,4,점자 안내판이 있어서 좋았어요.,physical
17561073,3,4,휠체어 접근이 매우 편리합니다. 경사로가 완만하고 안전해요.,physical
17561073,4,5,점자 안내판이 있어서 좋았어요.,visual
17561073,3,5,휠체어 접근이 매우 편리합니다. 경사로가 완만하고 안전해요.,hearing
17565571,2,4,직원분들이 친절하게 도와주셔서 감사했습니다.,hearing
17565571,6,3,엘리베이터는 있는데 좁아서 불편합니다.,hearing
17565571,5,2,점자블록이 없어서 시각장애인에게 불편합니다.,visual
17565571,2,1,문턱이 높아서 휠체어로 들어가기 어렵습니다.,visual
17565571,6,5,자동문이 있어서 출입이 편리합니다.,hearing
1984484431,1,4,직원분들이 친절하게 도와주셔서 감사했습니다.,hearing
1984484431,4,5,점자 안내판이 있어서 좋았어요.,physical
1984484431,4,5,직원분들이 친절하게 도와주셔서 감사했습니다.,physical
1984484431,6,4,장애인 화장실이 잘 관리되어 있고 청결합니다.,visual
1984484431,5,4,휠체어 접근이 매우 편리합니다. 경사로가 완만하고 안전해요.,visual
1984484431,2,3,1층은 접근 가능하지만 2층은 어렵습니다.,hearing
1984484431,7,4,엘리베이터가 넓고 깨끗합니다. 버튼 위치도 적절해요.,hearing
1984484431,6,5,휠체어 접근이 매우 편리합니다. 경사로가 완만하고 안전해요.,hearing
17565700,7,4,장애인 화장실이 잘 관리되어 있고 청결합니다.,visual
17565700,3,3,기본적인 시설은 있지만 개선이 필요해요.,hearing
17565700,7,5,휠체어 접근이 매우 편리합니다. 경사로가 완만하고 안전해요.,physical
17565700,2,2,문턱이 높아서 휠체어로 들어가기 어렵습니다.,physical
17565700,6,5,점자 안내판이 있어서 좋았어요.,hearing
17565700,3,1,문턱이 높아서 휠체어로 들어가기 어렵습니다.,hearing
17565699,1,4,휠체어 충전 공간이 마련되어 있습니다.,visual
17565699,7,2,입구에 계단만 있어서 접근이 어렵습니다.,physical
17565699,2,5,직원분들이 친절하게 도와주셔서 감사했습니다.,physical
17565699,3,4,휠체어 충전 공간이 마련되어 있습니다.,visual
17565699,1,3,부분적으로만 접근 가능한 시설입니다.,physical
17565699,6,2,경사로가 너무 가파라서 위험해요.,visual
17565699,5,3,기본적인 시설은 있지만 개선이 필요해요.,physical
18481139,4,4,직원분들이 친절하게 도와주셔서 감사했습니다.,hearing
18481139,5,2,입구에 계단만 있어서 접근이 어렵습니다.,physical
18481139,2,3,경사로는 있지만 각도가 가파른 편이에요.,physical
18481139,5,3,부분적으로만 접근 가능한 시설입니다.,physical
18481139,4,4,자동문이 있어서 출입이 편리합니다.,physical
18481139,5,3,엘리베이터는 있는데 좁아서 불편합니다.,physical
18481139,3,5,자동문이 있어서 출입이 편리합니다.,visual
18481139,3,5,휠체어 충전 공간이 마련되어 있습니다.,hearing
17565698,5,5,휠체어 접근이 매우 편리합니다. 경사로가 완만하고 안전해요.,physical
17565698,5,4,직원분들이 친절하게 도와주셔서 감사했습니다.,visual
17565698,4,3,기본적인 시설은 있지만 개선이 필요해요.,physical
17565698,1,3,부분적으로만 접근 가능한 시설입니다.,visual
17565698,7,3,경사로는 있지만 각도가 가파른 편이에요.,hearing
17565698,2,5,엘리베이터가 넓고 깨끗합니다. 버튼 위치도 적절해요.,physical
17565698,2,4,주차장에서 건물까지 단차 없이 이동 가능합니다.,visual
17565698,2,1,장애인 화장실이 없습니다.,hearing
17561074,5,4,직원분들이 친절하게 도와주셔서 감사했습니다.,hearing
17561074,1,3,경사로는 있지만 각도가 가파른 편이에요.,hearing
17561074,5,3,경사로는 있지만 각도가 가파른 편이에요.,visual
17561074,7,5,휠체어 접근이 매우 편리합니다. 경사로가 완만하고 안전해요.,visual
17561074,4,1,점자블록이 없어서 시각장애인에게 불편합니다.,hearing
17561072,2,5,점자 안내판이 있어서 좋았어요.,physical
17561072,4,3,엘리베이터는 있는데 좁아서 불편합니다.,hearing
17561072,1,1,엘리베이터가 없어서 2층 이상 가기 힘들어요.,visual
17561072,2,4,자동문이 있어서 출입이 편리합니다.,visual
17561072,5,1,장애인 화장실이 없습니다.,physical
17561072,5,2,입구에 계단만 있어서 접근이 어렵습니다.,visual
17561072,2,4,장애인 화장실이 잘 관리되어 있고 청결합니다.,physical
2614802859,1,5,엘리베이터가 넓고 깨끗합니다. 버튼 위치도 적절해요.,hearing
2614802859,3,3,경사로는 있지만 각도가 가파른 편이에요.,physical
2614802859,3,5,휠체어 충전 공간이 마련되어 있습니다.,visual
2614802859,6,1,점자블록이 없어서 시각장애인에게 불편합니다.,visual
2614802859,2,3,부분적으로만 접근 가능한 시설입니다.,hearing
2614802859,7,1,경사로가 너무 가파라서 위험해요.,visual
2614802859,4,4,주차장에서 건물까지 단차 없이 이동 가능합니다.,visual
